Section,String_ID,en
Section #1,string_id_01,password
Section #1,string_id_02,sequence
Section #1,string_id_03,giant
Section #1,string_id_04,assignment
Section #1,string_id_05,stride
Section #1,string_id_06,pursuit
Section #1,string_id_07,beat
Section #1,string_id_08,chart
Section #1,string_id_09,rabbit
Section #1,string_id_10,exact
,string_id_11,disappear
,string_id_12,white
,string_id_13,experienced
,string_id_14,cat
,string_id_15,diagram
section #2,string_id_16,collapse
section #3,string_id_17,terrify
section #4,string_id_18,countryside
section #5,string_id_19,fear
section #6,string_id_20,smell
