Section,String_ID,fr
section_01,position_00,0
section_01,position_01,1
section_01,position_02,2
section_01,position_03,3
section_01,position_04,4
section_01,position_05,5
section_01,position_06,6
section_01,position_07,7
section_01,position_08,8
section_01,position_09,9
section_02,position_10,10
section_02,position_11,11
section_02,position_12,12
section_02,position_13,13
section_01,position_14,14
section_01,position_15,15
section_01,position_16,16
section_01,position_17,17
section_01,position_18,18
section_01,position_19,19
section_01,position_20,20
section_01,position_21,21
section_01,position_22,22
section_01,position_23,23
